"Mental health indicators c 1 2 3 4"
"Frequency: Occasional"
"Table: 13-10-0465-01 (formerly CANSIM 105-1101)"
"Release date: 2024-12-12"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography 5","Canada",,,
"Age group","Total, 15 years and over",,,
"Gender 6 7","Total, gender of person",,,
"Characteristics 8 9 10 11 12 13 14 15 16 17 18","Number of persons",,"Percent",
"Indicators 2","2012","2022","2012","2022"
,"Number",,"Percent",
"Any selected disorder (mental or substance), excluding social phobia, life 19 20 21 22 23 24 25 26 27 28 29","9,124,009","10,655,800","33.1","37.0"
"Any selected disorder (mental or substance), excluding social phobia, 12 months 19 21 22 23 24 25 26 27 28 29 30","2,764,335","4,098,600","10.1","14.7"
"Any mood disorder, life 19 21 22 31","3,533,368","4,748,600","12.6","15.6"
"Any mood disorder, 12 months 19 21 22 32","1,518,505","2,582,200","5.4","8.5"
"Major depressive episode, life 19 21 33","3,184,422","4,313,000","11.3","14.0"
"Major depressive episode, 12 months 19 21 34","1,330,510","2,330,200","4.7","7.6"
"Bipolar disorder, life 19 22 35","737,701","1,060,600","2.6","3.4"
"Bipolar disorder, 12 months 19 22 36","424,877","666,000","1.5","2.1"
"Generalized anxiety disorder, life 19 23 37","2,448,026","4,062,900","8.7","13.3"
"Generalized anxiety disorder, 12 months 19 23 38","721,668","1,590,400","2.6","5.2"
"Any substance use disorder (alcohol or drug), life 19 24 25 26 27 28 29 39 40","5,993,675","6,119,200","21.6","20.7"
"Any substance use disorder (alcohol or drug), 12 months 19 24 25 26 27 28 29 40 41","1,211,941","1,112,800","4.4","3.8"
"Alcohol abuse or dependence, life 19 24 25 42","5,056,445","5,109,900","18.1","16.6"
"Alcohol abuse or dependence, 12 months 19 24 25 43","885,948","667,600","3.2","2.2"
"Cannabis abuse or dependence, life 19 26 27 40 44","1,913,302","2,056,100","6.8","6.8"
"Cannabis abuse or dependence, 12 months 19 26 27 40 45","368,727","435,000","1.3","1.4"
"Other drug abuse or dependence (excluding cannabis), life 19 28 29 40 46","1,118,123","1,114,400","4.0","3.6"
"Other drug abuse or dependence (excluding cannabis), 12 months 19 28 29 40 47","194,873","161,800","0.7","0.5"
"Cannabis use, life 40 48","11,994,142","14,517,300","42.5","46.1"
"Cannabis use, 12 months 40 49","3,429,678","6,936,100","12.2","22.0"
"Other drug use (excluding cannabis), life 40 50","6,322,501","7,272,500","22.4","23.2"
"Other drug use (excluding cannabis), 12 months 40 51","1,800,780","2,059,800","6.4","6.7"
"Suicidal thoughts, life 52","3,365,265","3,571,800","11.9","11.4"
"Suicidal thoughts, 12 months 53","942,723","1,142,400","3.3","3.6"
"Perceived mental health, very good or excellent 54","18,428,903","16,772,600","65.1","53.1"
"Perceived mental health, good 54","7,665,150","9,989,600","27.1","31.6"
"Perceived mental health, fair or poor 54","2,198,848","4,843,200","7.8","15.3"
"Self-rated work stress, days quite a bit or extremely stressful 55","5,414,002","5,725,400","27.1","27.1"
"Self-rated work stress, days a bit stressful 55","8,443,518","8,954,100","42.3","42.4"
"Self-rated work stress, days not at all or not very stressful 55","6,103,931","6,451,900","30.6","30.5"
"Perceived need for mental health care, no need 56","23,262,800","22,826,600","82.5","75.0"
"Perceived need for mental health care, all needs met 56","3,279,700","4,336,500","11.6","14.2"
"Perceived need for mental health care, needs partially met 56","1,039,356","2,057,800","3.7","6.8"
"Perceived need for mental health care, need not met 56","599,040","1,220,300","2.1","4.0"
"Mental health services, professional consultation/service used, 12 months 57","3,068,942","5,259,200","10.9","16.8"
"Schizophrenia or psychosis, ever received diagnosis 58","358,937","568,800","1.3","1.8"
"Post-traumatic stress disorder, current diagnosed condition 59","476,129","1,029,900","1.7","3.3"
"Eating disorder, current diagnosed condition 60","113,108","261,900","0.4","0.8"
"Attention deficit disorder, current diagnosed condition 61","744,797","1,969,900","2.6","6.3"


"Table Corrections:"
Date,Note
"2014-02-11","The 2012 data for 19 variables at the Atlantic Provinces and/or Prairie Provinces levels have been corrected. Data at the province and Canada level were not affected. The 19 corrected variables are: Any selected disorder (mental or substance), life; Any selected disorder (mental or substance), 12 months; Any mood disorder, life; Major depressive episode, life; Generalized anxiety disorder, life; Any substance use disorder (alcohol or drug), life; Any substance use disorder (alcohol or drug), 12 months; Alcohol abuse or dependence, life; Alcohol abuse or dependence, 12 months; Cannabis use, life; Self-rated work stress, days a bit stressful; Self-rated work stress, days not at all or not very stressful; Perceived need for mental health care, no need; Perceived need for mental health care, all needs met; Perceived mental health, very good or excellent; Perceived mental health, good; Post-traumatic stress disorder, current diagnosed condition; Eating disorder, current diagnosed condition; and Attention deficit disorder, current diagnosed condition."



Footnotes:
1,"Source: Statistics Canada, Mental Health and Access to Care Survey (MHACS), 2022; Canadian Community Health Survey - Mental Health (CCHS), 2012; Canadian Community Health Survey - Mental Health and Well-being (CCHS), 2002."
2,"The Mental Health Surveys cover the population 15 years of age and over living in the ten provinces. Excluded from the surveys' coverage are: persons living on reserves and other Indigenous settlements; full-time members of the Canadian Forces and the institutionalized population. Altogether, these exclusions represent less than 3% of the target population."
3,"All rates in this table are calculated excluding non-response categories ("refusal", "don't know", and "not stated") in the denominator."
4,"The 2012 data for 19 variables at the Atlantic Provinces and/or Prairie Provinces levels have been corrected. Data at the province and Canada level were not affected. The 19 corrected variables are: Any selected disorder (mental or substance), life; Any selected disorder (mental or substance), 12 months; Any mood disorder, life; Major depressive episode, life; Generalized anxiety disorder, life; Any substance use disorder (alcohol or drug), life; Any substance use disorder (alcohol or drug), 12 months; Alcohol abuse or dependence, life; Alcohol abuse or dependence, 12 months; Cannabis use, life; Self-rated work stress, days a bit stressful; Self-rated work stress, days not at all or not very stressful; Perceived need for mental health care, no need; Perceived need for mental health care, all needs met; Perceived mental health, very good or excellent; Perceived mental health, good; Post-traumatic stress disorder, current diagnosed condition; Eating disorder, current diagnosed condition; and Attention deficit disorder, current diagnosed condition."
5,"The Mental Health Surveys from 2002 and 2012 were designed to provide reliable estimates at the provincial level. MHACS 2022 was designed to provide reliable estimates at the national level and to sample a sufficient number of individuals to allow for relevant analyses of visible minorities."
6,"Gender was not collected in the 2002 and 2012 surveys. Therefore, the sex variable from 2002 and 2012 and the two-category gender variable from 2022 are combined in this analysis.  Although sex and gender refer to two different concepts, the introduction of gender is not expected to have a significant impact on data analysis and historical comparability, given the small size of the transgender and non-binary populations. For additional information on changes of concepts over time, please consult the <a href="https://www12.statcan.gc.ca/census-recensement/2021/ref/98-500/014/98-500-x2021014-eng.cfm" rel="external noopener noreferrer" target="_blank">Age, Sex at Birth and Gender Reference Guide (opens new window)</a>. "
7,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories. Unless otherwise indicated in the text, the category “men” includes men, as well as some non-binary persons, while the category “women” includes women, as well as some non-binary persons. A fact sheet on gender concepts, <a href="https://www12.statcan.gc.ca/census-recensement/2021/ref/98-20-0001/982000012021001-eng.cfm" rel="external noopener noreferrer" target="_blank">Filling the gaps: Information on gender in the 2021 Census (opens new window)</a>, is also available. "
8,"Bootstrapping techniques were used to produce the coefficient of variation (CV) and 95% confidence intervals (CIs)."
9,"Data with a coefficient of variation (CV) from 16.6% to 33.3% are identified as follows: (E) use with caution."
10,"Data with a coefficient of variation (CV) greater than 33.3% were suppressed due to extreme sampling variability and are identified as follows: (F) too unreliable to be published."
11,"The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period and (...) for figures not applicable."
12,"The confidence interval illustrates the degree of variability associated with a rate. Wide confidence intervals indicate high variability, thus, these rates should be interpreted with due caution. When comparing estimates, it is important to use confidence intervals to determine if differences between values are statistically significant."
